Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
,Age,,,,,,,,,,,,,,
Keibert Ruiz#,24,WSN,55,67,1,1,0.717,97,214,13,6,0,2,1,562
Casey Schmitt,24,SFG,28,30,2,1,0.58,60,82,7,5,3,3,0,277
Davis Schneider,24,TOR,23,20,1,0,1.008,175,70,2,4,0,0,0,141
Canaan Smith-Njigba*,24,PIT,3,5,1,0,0.435,20,7,1,0,0,1,0,37
Juan Soto*,24,SDP,97,109,12,5,0.93,158,295,18,2,1,5,11,708
Jack Suwinski*,24,PIT,63,74,13,2,0.793,115,203,2,6,0,6,2,534
Fernando Tatis Jr.,24,SDP,91,78,29,4,0.77,113,258,17,3,1,3,0,635
Leody Taveras#,24,TEX,67,67,14,4,0.733,97,215,3,1,3,4,0,554
Samad Taylor,24,KCR,11,4,8,0,0.546,52,16,1,0,1,1,0,69
Michael Toglia#,24,COL,18,9,1,1,0.507,30,40,3,1,0,0,0,152
Enmanuel Valdez*,24,BOS,17,19,5,1,0.764,103,63,4,1,0,0,0,149
Nelson Velázquez,24,TOT,35,34,0,0,0.888,136,95,3,2,0,1,0,179
Nelson Velázquez,24,CHC,8,6,0,0,0.933,143,18,1,0,0,0,0,32
Nelson Velázquez,24,KCR,27,28,0,0,0.878,134,77,2,2,0,1,0,147
Drew Waters#,24,KCR,40,32,16,5,0.677,85,114,4,5,0,3,0,337
Jordan Westburg,24,BAL,26,23,4,1,0.715,100,84,3,1,0,3,0,228
Joey Wiemer,24,MIL,48,42,11,4,0.645,76,133,4,5,0,2,0,410
Alika Williams,24,PIT,7,6,0,0,0.518,44,25,2,1,1,0,0,112
Brett Wisely*,24,SFG,10,8,2,1,0.497,38,32,2,0,1,1,0,131
Ronald Acuna Jr.,25,ATL,149,106,73,14,1.012,168,383,15,9,0,3,3,735
Jonathan Aranda*,25,TBR,13,13,0,0,0.708,98,32,1,2,0,1,1,103
José Barrero,25,CIN,15,17,3,2,0.619,67,43,1,0,0,1,0,149
Will Benson*,25,CIN,51,31,19,3,0.863,130,143,3,1,0,1,0,329
Bo Bichette,25,TOR,69,73,5,3,0.814,123,271,14,2,0,1,0,601
JJ Bleday*,25,OAK,35,27,5,1,0.666,91,91,3,2,0,3,0,303
Matt Brash,25,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Will Brennan*,25,CLE,41,41,13,5,0.655,83,154,4,5,0,2,2,455
Vidal Bruján#,25,TBR,14,6,3,2,0.438,25,15,1,2,1,0,0,84
Michael Busch*,25,LAD,9,7,1,0,0.539,45,21,0,0,0,1,0,81
Dominic Canzone*,25,TOT,23,21,1,0,0.657,81,69,5,1,0,0,0,182
Dominic Canzone*,25,ARI,4,8,0,0,0.661,80,14,1,1,0,0,0,41
Dominic Canzone*,25,SEA,19,13,1,0,0.656,81,55,4,0,0,0,0,141
Kerry Carpenter*,25,DET,57,64,6,0,0.811,120,197,5,8,0,1,3,459
Diego Castillo,25,ARI,0,0,0,0,0,-100,0,0,0,0,0,0,1
Jazz Chisholm Jr.*,25,MIA,50,51,22,3,0.761,103,161,4,2,1,2,0,383
William Contreras,25,MIL,86,78,6,1,0.825,125,247,23,5,1,2,2,611
Camilo Doval,25,SFG,0,0,0,0,,,0,0,0,0,0,0,0
Brenton Doyle,25,COL,48,48,22,5,0.593,52,137,9,4,3,3,0,431
Cam Eden,25,TOR,1,0,0,0,0.333,-7,1,0,0,0,0,0,6
Tyler Fitzgerald,25,SFG,3,5,2,0,0.733,98,15,0,0,0,0,0,34
Dominic Fletcher*,25,ARI,10,14,0,2,0.791,115,41,0,0,2,0,1,102
Estevan Florial*,25,NYY,5,8,3,0,0.635,76,19,0,2,0,1,0,71
Luis Frías,25,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Oscar González,25,CLE,15,12,0,0,0.551,53,54,2,1,0,1,0,180
David Hamilton*,25,BOS,2,0,2,1,0.438,22,6,1,0,0,0,0,39
Yonny Hernández#,25,LAD,5,4,0,0,0.413,14,4,0,1,1,1,0,27
Spencer Horwitz*,25,TOR,5,7,0,0,0.726,102,15,1,1,0,0,0,44
Sam Huff,25,TEX,5,6,0,0,0.801,112,22,1,0,0,0,0,45
Drey Jameson,25,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Bryce Jarvis*,25,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Jahmai Jones,25,MIL,2,3,1,0,0.573,58,3,0,0,0,0,0,11
Nolan Jones*,25,COL,60,62,20,4,0.931,138,199,1,3,0,1,3,424
Josh Jung,25,TEX,75,70,1,3,0.781,109,223,7,5,0,2,0,515
Karl Kauffmann,25,COL,0,0,0,0,,,0,0,0,0,0,0,0
Grae Kessinger,25,HOU,3,1,0,1,0.614,70,13,0,0,0,0,0,45
Carter Kieboom,25,WSN,12,11,0,0,0.634,74,32,2,1,0,0,0,94
Alex Kirilloff*,25,MIN,35,41,1,0,0.793,117,125,2,7,0,3,1,319
Ryan Kreidler,25,DET,2,0,0,0,0.222,-38,2,0,0,0,0,0,18
Steven Kwan*,25,CLE,93,54,21,3,0.71,100,236,9,3,1,6,2,718
Shea Langeliers,25,OAK,52,63,3,2,0.681,92,185,10,5,1,2,2,490
Andre Lipcius,25,DET,3,4,0,0,0.742,103,14,1,0,0,0,0,38
Josh Lowe*,25,TBR,71,83,32,3,0.835,129,233,6,1,0,3,2,501
Brandon Marsh*,25,PHI,58,60,10,2,0.829,127,185,4,4,1,4,2,472
Michael Massey*,25,KCR,42,55,6,2,0.655,78,163,3,4,1,4,0,461
Jake McCarthy*,25,ARI,37,16,26,4,0.644,77,90,4,5,4,1,0,312
Matt Mervis*,25,CHC,8,11,0,0,0.531,43,26,1,1,0,0,0,99
Drew Millas#,25,WSN,1,6,0,0,0.839,131,13,2,0,1,0,0,33
José Miranda,25,MIN,12,13,0,0,0.566,56,43,8,1,0,0,0,152
Mickey Moniak*,25,LAA,35,45,6,3,0.802,113,154,4,3,0,0,1,323
Lars Nootbaar*,25,STL,74,46,11,1,0.784,115,178,7,1,1,3,2,503
Vinnie Pasquantino*,25,KCR,24,26,0,0,0.762,108,101,7,2,0,1,2,260
Jeremy Peña,25,HOU,81,52,13,9,0.705,95,220,11,9,1,1,1,634
Cole Ragans*,25,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Cole Ragans*,25,TEX,0,0,0,0,,,0,0,0,0,0,0,0
Luis Robert Jr.,25,CHW,90,80,20,4,0.857,128,296,10,12,0,2,5,595
Ben Rortvedt*,25,NYY,6,4,0,0,0.461,28,15,1,0,0,0,0,79
Adley Rutschman#,25,BAL,84,80,1,2,0.809,128,256,14,2,0,5,6,687
Blake Sabol*,25,SFG,36,44,4,2,0.695,91,122,4,6,2,2,0,344
Jesús Sánchez*,25,MIA,43,52,3,1,0.777,108,162,12,2,1,1,1,402
Cole Sands,25,MIN,0,0,0,0,,,0,0,0,0,0,0,0
Braden Shewmake*,25,ATL,0,0,0,0,0,-100,0,0,0,0,0,0,4
Josh H. Smith*,25,TEX,29,15,1,0,0.633,73,64,3,9,2,1,0,232
Carson Spiers,25,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Spencer Steer,25,CIN,74,86,15,3,0.82,119,270,9,11,0,4,0,665
Bryson Stott*,25,PHI,78,62,31,3,0.747,104,245,10,7,1,8,1,640
Kyle Stowers*,25,BAL,1,0,0,0,0.218,-35,2,1,0,0,0,0,33
Bubba Thompson,25,TEX,10,4,4,2,0.52,41,15,0,1,1,1,0,60
Taylor Trammell*,25,SEA,7,11,0,1,0.612,73,15,2,1,0,0,0,56
Jared Triolo,25,PIT,30,21,6,1,0.785,116,72,0,3,0,1,0,209
Andrew Vaughn,25,CHW,67,80,0,0,0.743,101,243,15,11,0,2,0,615
Matt Wallner*,25,MIN,42,41,2,1,0.877,139,108,1,13,0,0,1,254
Hayden Wesneski,25,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Juan Yepez,25,STL,5,2,0,1,0.546,49,18,0,1,0,0,0,65
Ty Adcock,26,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Ozzie Albies#,26,ATL,96,109,13,1,0.849,124,306,9,8,0,8,2,660
Jake Alu*,26,WSN,14,16,5,1,0.571,59,46,2,3,1,2,0,175
Yordan Álvarez*,26,HOU,77,97,0,0,0.99,170,239,7,13,0,4,5,496
Luis Arráez*,26,MIA,71,69,3,2,0.861,133,269,18,4,1,3,10,617
Luken Baker,26,STL,9,10,0,0,0.627,73,27,1,0,0,0,0,99
Joey Bart,26,SFG,9,5,0,0,0.528,47,23,0,4,0,1,0,95
Travis Blankenhorn*,26,WSN,2,1,0,0,0.555,57,8,0,0,0,0,0,37
Alec Bohm,26,PHI,74,97,4,1,0.765,108,244,23,5,0,6,1,611
J.B. Bukauskas,26,TOT,0,0,0,0,,,0,0,0,0,0,0,0
J.B. Bukauskas,26,SEA,0,0,0,0,,,0,0,0,0,0,0,0
